Round Number,Date,Location,Home Team,Away Team,Winner,Result
1,10/08/2018 20:00,Old Trafford,Man Utd,Leicester,H,2 - 1
1,11/08/2018 12:30,St. James' Park,Newcastle,Spurs,A,1 - 2
1,11/08/2018 15:00,Vitality Stadium,Bournemouth,Cardiff,H,2 - 0
1,11/08/2018 15:00,Craven Cottage,Fulham,Crystal Palace,A,0 - 2
1,11/08/2018 15:00,John Smith's Stadium,Huddersfield,Chelsea,A,0 - 3
1,11/08/2018 15:00,Vicarage Road,Watford,Brighton,H,2 - 0
1,11/08/2018 17:30,Molineux Stadium,Wolves,Everton,D,2 - 2
1,12/08/2018 13:30,Anfield,Liverpool,West Ham,H,4 - 0
1,12/08/2018 13:30,St. Mary's Stadium,Southampton,Burnley,D,0 - 0
1,12/08/2018 16:00,Emirates Stadium,Arsenal,Man City,A,0 - 2
2,18/08/2018 12:30,Cardiff City Stadium,Cardiff,Newcastle,D,0 - 0
2,18/08/2018 15:00,Goodison Park,Everton,Southampton,H,2 - 1
2,18/08/2018 15:00,King Power Stadium,Leicester,Wolves,H,2 - 0
2,18/08/2018 15:00,Wembley Stadium,Spurs,Fulham,H,3 - 1
2,18/08/2018 15:00,London Stadium,West Ham,Bournemouth,A,1 - 2
2,18/08/2018 17:30,Stamford Bridge,Chelsea,Arsenal,H,3 - 2
2,19/08/2018 13:30,Turf Moor,Burnley,Watford,A,1 - 3
2,19/08/2018 13:30,Etihad Stadium,Man City,Huddersfield,H,6 - 1
2,19/08/2018 16:00,Amex Stadium,Brighton,Man Utd,H,3 - 2
2,20/08/2018 20:00,Selhurst Park,Crystal Palace,Liverpool,A,0 - 2
3,25/08/2018 12:30,Molineux Stadium,Wolves,Man City,D,1 - 1
3,25/08/2018 15:00,Emirates Stadium,Arsenal,West Ham,H,3 - 1
3,25/08/2018 15:00,Vitality Stadium,Bournemouth,Everton,D,2 - 2
3,25/08/2018 15:00,John Smith's Stadium,Huddersfield,Cardiff,D,0 - 0
3,25/08/2018 15:00,St. Mary's Stadium,Southampton,Leicester,A,1 - 2
3,25/08/2018 17:30,Anfield,Liverpool,Brighton,H,1 - 0
3,26/08/2018 13:30,Vicarage Road,Watford,Crystal Palace,H,2 - 1
3,26/08/2018 16:00,Craven Cottage,Fulham,Burnley,H,4 - 2
3,26/08/2018 16:00,St. James' Park,Newcastle,Chelsea,A,1 - 2
3,27/08/2018 20:00,Old Trafford,Man Utd,Spurs,A,0 - 3
4,01/09/2018 12:30,King Power Stadium,Leicester,Liverpool,A,1 - 2
4,01/09/2018 15:00,Amex Stadium,Brighton,Fulham,D,2 - 2
4,01/09/2018 15:00,Stamford Bridge,Chelsea,Bournemouth,H,2 - 0
4,01/09/2018 15:00,Selhurst Park,Crystal Palace,Southampton,A,0 - 2
4,01/09/2018 15:00,Goodison Park,Everton,Huddersfield,D,1 - 1
4,01/09/2018 15:00,London Stadium,West Ham,Wolves,A,0 - 1
4,01/09/2018 17:30,Etihad Stadium,Man City,Newcastle,H,2 - 1
4,02/09/2018 13:30,Cardiff City Stadium,Cardiff,Arsenal,A,2 - 3
4,02/09/2018 16:00,Turf Moor,Burnley,Man Utd,A,0 - 2
4,02/09/2018 16:00,Vicarage Road,Watford,Spurs,H,2 - 1
5,15/09/2018 12:30,Wembley Stadium,Spurs,Liverpool,A,1 - 2
5,15/09/2018 15:00,Vitality Stadium,Bournemouth,Leicester,H,4 - 2
5,15/09/2018 15:00,Stamford Bridge,Chelsea,Cardiff,H,4 - 1
5,15/09/2018 15:00,John Smith's Stadium,Huddersfield,Crystal Palace,A,0 - 1
5,15/09/2018 15:00,Etihad Stadium,Man City,Fulham,H,3 - 0
5,15/09/2018 15:00,St. James' Park,Newcastle,Arsenal,A,1 - 2
5,15/09/2018 17:30,Vicarage Road,Watford,Man Utd,A,1 - 2
5,16/09/2018 13:30,Molineux Stadium,Wolves,Burnley,H,1 - 0
5,16/09/2018 16:00,Goodison Park,Everton,West Ham,A,1 - 3
5,17/09/2018 20:00,St. Mary's Stadium,Southampton,Brighton,D,2 - 2
6,22/09/2018 12:30,Craven Cottage,Fulham,Watford,D,1 - 1
6,22/09/2018 15:00,Turf Moor,Burnley,Bournemouth,H,4 - 0
6,22/09/2018 15:00,Cardiff City Stadium,Cardiff,Man City,A,0 - 5
6,22/09/2018 15:00,Selhurst Park,Crystal Palace,Newcastle,D,0 - 0
6,22/09/2018 15:00,King Power Stadium,Leicester,Huddersfield,H,3 - 1
6,22/09/2018 15:00,Anfield,Liverpool,Southampton,H,3 - 0
6,22/09/2018 15:00,Old Trafford,Man Utd,Wolves,D,1 - 1
6,22/09/2018 17:30,Amex Stadium,Brighton,Spurs,A,1 - 2
6,23/09/2018 13:30,London Stadium,West Ham,Chelsea,D,0 - 0
6,23/09/2018 16:00,Emirates Stadium,Arsenal,Everton,H,2 - 0
7,29/09/2018 12:30,London Stadium,West Ham,Man Utd,H,3 - 1
7,29/09/2018 15:00,Emirates Stadium,Arsenal,Watford,H,2 - 0
7,29/09/2018 15:00,Goodison Park,Everton,Fulham,H,3 - 0
7,29/09/2018 15:00,John Smith's Stadium,Huddersfield,Spurs,A,0 - 2
7,29/09/2018 15:00,Etihad Stadium,Man City,Brighton,H,2 - 0
7,29/09/2018 15:00,St. James' Park,Newcastle,Leicester,A,0 - 2
7,29/09/2018 15:00,Molineux Stadium,Wolves,Southampton,H,2 - 0
